time,price,status,amount
100748,12.87,B,1000
100748,12.88,B,4643
100748,12.88,B,100
100748,12.88,B,200
100748,12.88,B,357
100751,12.86,S,1000
100752,12.86,S,1000
100757,12.86,S,2000
100758,12.86,S,1000
100801,12.86,S,300
100804,12.87,B,600
100804,12.88,B,643
100804,12.89,B,257
100812,12.87,S,1000
100812,12.87,S,500
100813,12.88,B,800
100814,12.87,S,500
100817,12.87,S,500
100828,12.87,S,400
100828,12.87,S,500
100828,12.87,S,200
100829,12.87,S,800
100829,12.87,S,200
100831,12.88,B,200
100831,12.88,B,100
100831,12.88,B,200
100831,12.88,S,500
